Java HotSpot(TM) 64-Bit Server VM (25.202-b08) for windows-amd64 JRE (1.8.0_202-b08), built on Dec 15 2018 19:54:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8230644k(2562660k free), swap 14397192k(2125236k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=d:/dump/ -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
3.018: [GC (Metadata GC Threshold) [PSYoungGen: 157346K->14275K(305664K)] 157346K->14291K(1005056K), 0.0225683 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
3.041: [Full GC (Metadata GC Threshold) [PSYoungGen: 14275K->0K(305664K)] [ParOldGen: 16K->13635K(699392K)] 14291K->13635K(1005056K), [Metaspace: 20598K->20597K(1067008K)], 0.0456608 secs] [Times: user=0.13 sys=0.00, real=0.05 secs] 
26.360: [GC (Allocation Failure) [PSYoungGen: 262144K->16127K(305664K)] 275779K->29779K(1005056K), 0.0482744 secs] [Times: user=0.06 sys=0.05, real=0.05 secs] 
38.240: [GC (Allocation Failure) [PSYoungGen: 278271K->6404K(305664K)] 291923K->20063K(1005056K), 0.0195139 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
48.306: [GC (Allocation Failure) [PSYoungGen: 268548K->6308K(305664K)] 282207K->19975K(1005056K), 0.0081196 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
59.982: [GC (Allocation Failure) [PSYoungGen: 268452K->6340K(305664K)] 282119K->20007K(1005056K), 0.0089518 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
80.841: [GC (Allocation Failure) [PSYoungGen: 254239K->6416K(330752K)] 267906K->167548K(1030144K), 0.0837031 secs] [Times: user=0.38 sys=0.08, real=0.08 secs] 
81.055: [GC (Allocation Failure) [PSYoungGen: 312972K->6436K(330240K)] 474104K->462488K(1029632K), 0.1509864 secs] [Times: user=0.69 sys=0.22, real=0.15 secs] 
81.334: [GC (Allocation Failure) --[PSYoungGen: 309967K->309967K(330240K)] 766019K->995396K(1029632K), 0.2426983 secs] [Times: user=0.53 sys=0.31, real=0.24 secs] 
81.577: [Full GC (Ergonomics) [PSYoungGen: 309967K->55037K(330240K)] [ParOldGen: 685428K->692948K(699392K)] 995396K->747986K(1029632K), [Metaspace: 32379K->32379K(1079296K)], 0.4762912 secs] [Times: user=1.48 sys=0.03, real=0.48 secs] 
82.155: [Full GC (Ergonomics) [PSYoungGen: 307034K->300802K(330240K)] [ParOldGen: 692948K->692868K(699392K)] 999983K->993671K(1029632K), [Metaspace: 32383K->32383K(1079296K)], 0.4995472 secs] [Times: user=2.06 sys=0.00, real=0.50 secs] 
82.655: [Full GC (Allocation Failure) [PSYoungGen: 300802K->299369K(330240K)] [ParOldGen: 692868K->692264K(699392K)] 993671K->991633K(1029632K), [Metaspace: 32383K->32194K(1079296K)], 0.4657258 secs] [Times: user=1.97 sys=0.00, real=0.47 secs] 
86.367: [Full GC (Ergonomics) [PSYoungGen: 300620K->299431K(330240K)] [ParOldGen: 692264K->692260K(699392K)] 992884K->991691K(1029632K), [Metaspace: 32195K->32195K(1079296K)], 0.5087923 secs] [Times: user=1.75 sys=0.00, real=0.51 secs] 
86.876: [Full GC (Allocation Failure) [PSYoungGen: 299431K->299368K(330240K)] [ParOldGen: 692260K->692260K(699392K)] 991691K->991629K(1029632K), [Metaspace: 32195K->32195K(1079296K)], 0.2121518 secs] [Times: user=1.00 sys=0.00, real=0.21 secs] 
87.095: [Full GC (Ergonomics) [PSYoungGen: 300203K->299395K(330240K)] [ParOldGen: 692260K->692260K(699392K)] 992463K->991655K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.3650056 secs] [Times: user=1.36 sys=0.01, real=0.37 secs] 
87.460: [Full GC (Allocation Failure) [PSYoungGen: 299395K->299370K(330240K)] [ParOldGen: 692260K->692260K(699392K)] 991655K->991631K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2872651 secs] [Times: user=1.59 sys=0.00, real=0.29 secs] 
87.757: [Full GC (Ergonomics) [PSYoungGen: 300949K->299436K(330240K)] [ParOldGen: 692260K->692260K(699392K)] 993209K->991696K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2240331 secs] [Times: user=1.27 sys=0.00, real=0.22 secs] 
87.982: [Full GC (Allocation Failure) [PSYoungGen: 299436K->299373K(330240K)] [ParOldGen: 692260K->692260K(699392K)] 991696K->991633K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1983266 secs] [Times: user=0.80 sys=0.00, real=0.20 secs] 
88.190: [Full GC (Ergonomics) [PSYoungGen: 300577K->299396K(330240K)] [ParOldGen: 692260K->692259K(699392K)] 992837K->991655K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.3428311 secs] [Times: user=1.31 sys=0.02, real=0.34 secs] 
88.533: [Full GC (Allocation Failure) [PSYoungGen: 299396K->299374K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991655K->991633K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2227973 secs] [Times: user=1.11 sys=0.00, real=0.22 secs] 
88.759: [Full GC (Ergonomics) [PSYoungGen: 299990K->299416K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 992250K->991676K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1732279 secs] [Times: user=0.81 sys=0.00, real=0.17 secs] 
88.933: [Full GC (Allocation Failure) [PSYoungGen: 299416K->299387K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991676K->991647K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2115431 secs] [Times: user=0.98 sys=0.02, real=0.21 secs] 
89.160: [Full GC (Ergonomics) [PSYoungGen: 300702K->299430K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 992962K->991690K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2311977 secs] [Times: user=1.13 sys=0.00, real=0.23 secs] 
89.392: [Full GC (Allocation Failure) [PSYoungGen: 299430K->299374K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991690K->991634K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1891086 secs] [Times: user=0.88 sys=0.00, real=0.19 secs] 
89.581: [Full GC (Ergonomics) [PSYoungGen: 299378K->299375K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991637K->991634K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2034002 secs] [Times: user=0.91 sys=0.00, real=0.20 secs] 
89.785: [Full GC (Allocation Failure) [PSYoungGen: 299375K->299375K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991634K->991634K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1976397 secs] [Times: user=0.89 sys=0.00, real=0.20 secs] 
89.991: [Full GC (Ergonomics) [PSYoungGen: 302291K->299438K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 994550K->991697K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.4109166 secs] [Times: user=1.58 sys=0.00, real=0.41 secs] 
90.402: [Full GC (Allocation Failure) [PSYoungGen: 299438K->299375K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991697K->991634K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1881184 secs] [Times: user=0.91 sys=0.02, real=0.19 secs] 
90.598: [Full GC (Ergonomics) [PSYoungGen: 300026K->299399K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 992285K->991658K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.1960797 secs] [Times: user=0.81 sys=0.00, real=0.20 secs] 
90.794: [Full GC (Allocation Failure) [PSYoungGen: 299399K->299377K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 991658K->991636K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2369216 secs] [Times: user=0.91 sys=0.00, real=0.24 secs] 
91.048: [Full GC (Ergonomics) [PSYoungGen: 302002K->299440K(330240K)] [ParOldGen: 692259K->692259K(699392K)] 994261K->991699K(1029632K), [Metaspace: 32197K->32197K(1079296K)], 0.2534037 secs] [Times: user=1.19 sys=0.00, real=0.25 secs] 
